longitude,latitude,flood_susceptibility,risk_class,risk_label
6.95,5.441051489932886,0.8824132442424362,3.0,high
6.95,5.441610771812081,0.8780841365661969,3.0,high
6.95,5.442170053691275,0.8742021496920938,3.0,high
6.95,5.44272933557047,0.8707243034701373,3.0,high
6.95,5.443288617449665,0.867609073827369,3.0,high
6.95,5.443847899328859,0.8648171110948462,3.0,high
6.95,5.444407181208054,0.8623117038374501,3.0,high
6.95,5.4449664630872485,0.8600590403029615,3.0,high
6.95,5.445525744966443,0.8580283138599978,3.0,high
6.95,5.446085026845638,0.8561917121930656,3.0,high
6.95,5.446644308724832,0.8545243233093014,3.0,high
6.95,5.447203590604027,0.8530039850706053,3.0,high
6.95,5.447762872483222,0.851611099276403,3.0,high
6.95,5.448322154362416,0.8503284264132946,3.0,high
6.95,5.448881436241611,0.8491408730815977,3.0,high
6.95,5.4494407181208055,0.8480352807651033,3.0,high
6.95,5.45,0.846136498005464,3.0,high
6.950671140939598,5.366667,0.6828137120993943,3.0,high
6.950671140939598,5.367226281879194,0.6831706302999752,3.0,high
6.950671140939598,5.367785563758389,0.6834334346105918,3.0,high
6.950671140939598,5.3683448456375835,0.6837053339296378,3.0,high
6.950671140939598,5.368904127516778,0.6839863934743582,3.0,high
6.950671140939598,5.369463409395973,0.6842766735576491,3.0,high
6.950671140939598,5.370022691275167,0.6845762296893454,3.0,high
6.950671140939598,5.370581973154362,0.6848851127042094,3.0,high
6.950671140939598,5.371141255033557,0.6852033689182093,3.0,high
6.950671140939598,5.371700536912751,0.7855310403150217,3.0,high
